category,pub_name,pub_link,author,launch_date,num_subs,sub_rate,top_paid
Politics,The Informant,https://www.informant.news/?utm_source=discover,Nick Martin,2 years ago,Thousands of subscribers,$5.99/month,True
Technology,The Pomp Letter,https://pomp.substack.com/?utm_source=discover,Anthony Pompliano,3 years ago,Tens of thousands of subscribers,$10/month,True
Technology,Astral Codex Ten,https://astralcodexten.substack.com/?utm_source=discover,Scott Alexander,9 months ago,Thousands of subscribers,$10/month,True
Technology,Platformer,https://www.platformer.news/?utm_source=discover,Casey Newton,2 years ago,Thousands of subscribers,$10/month,True
Technology,The Diff,https://diff.substack.com/?utm_source=discover,Byrne Hobart,2 years ago,Thousands of subscribers,$20/month,True
Technology,Exponential View by Azeem Azhar,https://www.exponentialview.co/?utm_source=discover,EPIIPLUS1 Ltd,3 years ago,Thousands of subscribers,$12/month,True
Technology,Insight,https://www.theinsight.org/?utm_source=discover,zeynep,3 years ago,Thousands of subscribers,$10/month,True
Technology,The Defiant,https://newsletter.thedefiant.io/?utm_source=discover,Camila Russo,2 years ago,Thousands of subscribers,$15/month,True
Technology,Newcomer,https://www.newcomer.co/?utm_source=discover,,9 months ago,Thousands of subscribers,$15/month,True
Technology,Chinese Characteristics,https://lillianli.substack.com/?utm_source=discover,Lillian Li,9 months ago,Hundreds of subscribers,$35/month,True
Technology,Crypto is Easy,https://cryptoiseasy.substack.com/?utm_source=discover,Mark Helfman,a year ago,Hundreds of subscribers,$12/month,True
Technology,Technically,https://technically.substack.com/?utm_source=discover,Justin Gage,a year ago,Hundreds of subscribers,$8/month,True
Technology,Razib Khan's Unsupervised Learning,https://razib.substack.com/?utm_source=discover,,8 months ago,Thousands of subscribers,$8/month,True
Technology,TheSequence,https://thesequence.substack.com/?utm_source=discover,,a year ago,Thousands of subscribers,$5/month,True
Technology,Uncharted Territories,https://www.tomaspueyo.com/?utm_source=discover,Tomas Pueyo,22 days ago,Hundreds of subscribers,$10/month,True
Technology,Pirate Wires,https://www.piratewires.com/?utm_source=discover,Mike Solana,a year ago,Hundreds of subscribers,$8/month,True
Technology,Hardcore Software,https://hardcoresoftware.learningbyshipping.com/?utm_source=discover,Steven Sinofsky,9 months ago,Hundreds of subscribers,$10/month,True
Technology,Nexus,https://www.nexuslabs.online/?utm_source=discover,James Dice,2 years ago,Hundreds of subscribers,$25/month,True
Technology,The GameDiscoverCo newsletter,https://newsletter.gamediscover.co/?utm_source=discover,Simon Carless,2 years ago,Hundreds of subscribers,$15/month,True
Technology,Garbage Day,https://www.garbageday.email/?utm_source=discover,Ryan Broderick,2 years ago,Thousands of subscribers,$5/month,True
Technology,Lolita's Newsletter,https://lolitataub.substack.com/?utm_source=discover,@lolitataub,2 years ago,Hundreds of subscribers,$13/month,True
Technology,Thinking about...,https://snyder.substack.com/?utm_source=discover,Timothy Snyder,2 months ago,Hundreds of subscribers,$5/month,True
Technology,Liberty’s Highlights,https://www.libertyrpf.com/?utm_source=discover,Liberty RPF,10 months ago,Hundreds of subscribers,$12/month,True
Technology,Secret Salsa Crypto Ideas,https://secretsalsa.substack.com/?utm_source=discover,,,,$60/month,True
Technology,Startup-Radar,https://startupradar.substack.com/?utm_source=discover,Alexander Hüsing,2 years ago,,€39/month,True
Technology,The Matt Allen Letter,https://mattallen.substack.com/?utm_source=discover,Matt Allen,9 months ago,Hundreds of subscribers,$10/month,True
Business,Lenny's Newsletter,https://www.lennysnewsletter.com/?utm_source=discover,,2 years ago,Thousands of subscribers,$15/month,True
Business,Nongaap Investing,https://nongaap.substack.com/?utm_source=discover,Mike,2 years ago,Hundreds of subscribers,$39/month,True
Business,DeFi Pulse Farmer,https://yieldfarmer.substack.com/?utm_source=discover,,a year ago,Hundreds of subscribers,$50/month,True
Business,The Ankler,https://theankler.com/?utm_source=discover,Richard Rushfield,2 years ago,Thousands of subscribers,$10/month,True
Business,Noahpinion,https://noahpinion.substack.com/?utm_source=discover,Noah Smith,a year ago,Thousands of subscribers,$10/month,True
Business,The Profile,https://theprofile.substack.com/?utm_source=discover,Polina Marinova Pompliano,3 years ago,Thousands of subscribers,$10/month,True
Business,DirectorMoves,https://directormoves.substack.com/?utm_source=discover,george fleck,2 years ago,Thousands of subscribers,$10/month,True
Business,Pulte’s Money and Life Thoughts,https://pulte.substack.com/?utm_source=discover,,,Hundreds of subscribers,$7/month,True
Business,The Fintech Blueprint,https://lex.substack.com/?utm_source=discover,Lex,2 years ago,Hundreds of subscribers,$15/month,True
Business,Original Jurisdiction,https://davidlat.substack.com/?utm_source=discover,David Lat,6 months ago,Hundreds of subscribers,$5/month,True
Business,Yet Another Value Blog Premium,https://yetanothervalueblog.substack.com/?utm_source=discover,,a year ago,Hundreds of subscribers,$124.99/month,True
Business,European Straits,https://europeanstraits.substack.com/?utm_source=discover,Nicolas Colin,2 years ago,,Hundreds of subscribers,True
Business,Sake Industry News,https://sakeindustrynews.substack.com/?utm_source=discover,,2 years ago,Hundreds of subscribers,$10/month,True
Business,The Broccoli Report,https://broccoli.substack.com/?utm_source=discover,Broccoli,a year ago,Hundreds of subscribers,$8/month,True
Business,Business Breakdowns,https://businessbreakdowns.substack.com/?utm_source=discover,,,,by Ryan Reeves,True
